income,savings,credit_usage,loan_balance,monthly_spending,investment_portfolio,risk_appetite,age,employment_status,education_level,credit_score,debt_to_income_ratio,monthly_essentials,monthly_discretionary,long_term_goals
5660,19279,5091,31080,2771,6865,low,49,retired,PhD,744,6.39,1278,678,retirement
3974,19913,405,7455,2403,15741,high,22,full-time,master's,788,1.98,1309,713,invest more
8404,28169,2842,26563,5071,14054,high,47,self-employed,PhD,575,3.5,1804,1155,buy house
944,2316,302,8407,611,5739,high,19,unemployed,high school,302,9.22,500,200,invest more
3463,17270,4425,10484,2191,12217,low,25,full-time,master's,373,4.3,1099,466,travel
6007,42141,7921,58375,3275,3190,medium,61,retired,master's,687,11.03,1630,310,retirement
6838,39348,5428,39552,4138,12241,low,52,retired,master's,670,6.58,947,1117,travel
676,3833,3569,12562,362,6144,medium,18,part-time,high school,406,23.83,500,200,invest more
7606,12021,9846,60882,5257,12368,high,69,full-time,master's,643,9.3,1390,1218,buy house
8078,28115,67,48778,3749,2077,high,55,full-time,master's,532,6.05,1430,1087,invest more
6027,13148,9518,23384,3975,4565,medium,39,self-employed,master's,537,5.46,2089,435,travel
8019,29477,9113,5644,3334,18116,low,60,full-time,master's,395,1.84,665,961,invest more
1126,2454,9064,8087,730,7841,medium,18,part-time,high school,599,15.22,508,219,invest more
5895,47212,4148,46946,2986,1295,low,70,full-time,master's,616,8.67,613,528,travel
9071,49212,1490,12770,3314,1062,low,43,retired,PhD,821,1.57,777,239,invest more
1001,4462,7120,16905,515,19512,low,18,unemployed,in school,817,23.98,500,200,retirement
3116,14132,7288,12355,1971,3747,high,26,full-time,master's,818,6.3,940,453,travel
7472,18505,5353,44505,2468,9651,high,50,self-employed,PhD,502,6.67,604,387,invest more
4984,8341,7400,14732,2317,12597,low,28,full-time,bachelor's,350,4.44,734,636,travel
9668,37251,461,10194,6361,2505,medium,36,full-time,PhD,810,1.1,1127,1694,buy house
8120,26410,6262,29567,3169,15792,high,45,self-employed,PhD,529,4.41,1653,694,invest more
5553,13461,3419,9379,1843,2840,medium,52,full-time,master's,460,2.3,648,246,travel
8989,27576,589,61565,4968,6893,medium,70,self-employed,PhD,684,6.91,1801,980,invest more
2480,8707,2064,21521,1246,3362,high,23,full-time,bachelor's,832,9.51,822,266,invest more
5738,46730,3293,26956,3916,10258,medium,52,retired,PhD,408,5.27,2661,705,invest more
9292,24693,4641,37892,5384,17303,high,48,retired,PhD,478,4.58,2614,604,retirement
8821,37320,5358,31945,4990,11298,high,52,retired,master's,788,4.23,1578,752,buy house
3768,16526,9962,22454,2456,15479,high,28,self-employed,master's,594,8.6,1378,471,travel
7190,32586,3870,407,4241,1054,medium,61,full-time,master's,344,0.59,2599,1152,buy house
5083,35774,3228,39887,2663,13305,low,62,full-time,PhD,448,8.48,585,533,invest more
6530,30412,7542,3043,2189,13108,low,39,full-time,master's,485,1.62,733,504,buy house
3062,12022,2751,6101,1969,17663,low,30,self-employed,master's,486,2.89,890,209,travel
3645,13702,6712,8907,2258,8956,medium,33,full-time,master's,337,4.28,1365,418,retirement
8892,40757,4497,11861,3116,7448,low,56,retired,master's,552,1.84,536,801,invest more
6531,37471,7764,14193,2897,19911,high,54,full-time,master's,744,3.36,818,724,retirement
5664,38514,7176,28071,2645,7863,medium,58,self-employed,PhD,327,6.22,974,540,travel
2742,12746,5430,19430,1807,10401,low,22,self-employed,master's,737,9.06,947,200,buy house
4653,15445,9198,21150,1679,7455,low,26,self-employed,bachelor's,395,6.52,504,220,retirement
2081,5805,830,2355,1236,17657,medium,29,self-employed,bachelor's,704,1.53,727,298,invest more
6770,45820,6262,32857,3313,8082,low,38,full-time,master's,470,5.78,1017,685,retirement
7417,14040,4661,24722,3632,6925,low,61,full-time,PhD,375,3.96,1143,1048,buy house
7611,23410,4935,33052,2964,9000,medium,43,self-employed,PhD,485,4.99,1810,214,retirement
6647,40588,1753,38303,3975,19511,low,42,full-time,PhD,457,6.03,715,511,travel
9975,49149,5439,15894,5082,2742,high,70,retired,PhD,449,2.14,1442,775,retirement
4719,13410,5822,3113,1705,8680,medium,24,full-time,master's,817,1.89,698,432,travel
6647,34866,4637,38553,3791,6183,high,47,full-time,master's,543,6.5,2519,722,travel
5562,10886,1036,14024,3196,10684,low,44,retired,PhD,670,2.71,1925,299,travel
9445,35982,4353,46527,5243,3047,low,65,full-time,master's,703,5.39,2543,797,invest more
447,4648,9173,15775,227,10196,low,18,part-time,in school,611,55.69,500,200,buy house
5034,20319,7464,30153,2511,10405,high,57,self-employed,PhD,693,7.47,1083,736,retirement
9860,32659,232,20618,3943,7673,low,44,self-employed,master's,509,2.11,2705,1061,buy house
8225,30159,5469,24914,4654,18529,low,37,full-time,master's,360,3.69,2377,610,buy house
8323,26687,7101,11412,3404,17181,low,36,retired,PhD,314,2.22,1115,707,buy house
5126,43680,3320,43376,2725,19444,medium,70,self-employed,PhD,655,9.11,1410,499,travel
4660,14818,1949,22610,1531,7457,low,34,full-time,master's,800,5.27,805,315,invest more
9146,14630,4733,9642,3116,1653,medium,67,retired,master's,749,1.57,1361,517,invest more
4002,6527,6824,23949,1509,7250,high,27,self-employed,master's,321,7.69,576,313,retirement
3691,16102,1791,9683,1639,9845,low,33,full-time,bachelor's,674,3.11,502,250,buy house
7369,36782,395,41335,3225,3052,high,44,self-employed,master's,399,5.66,537,418,travel
5574,32500,8439,20817,2883,19434,high,36,retired,PhD,680,5.25,1864,704,retirement
2488,14559,6710,4720,929,18421,low,35,self-employed,bachelor's,460,4.59,592,267,travel
2530,15481,9154,24704,1688,12674,high,30,self-employed,bachelor's,466,13.38,1080,299,buy house
4071,11353,5338,2356,1521,13161,medium,32,self-employed,master's,556,1.89,594,430,travel
7638,30084,8826,29627,4024,7433,low,58,retired,PhD,538,5.03,2752,721,buy house
7095,27884,5964,44075,2405,10182,low,54,self-employed,master's,556,7.05,592,473,retirement
2846,17493,957,25603,1204,3833,medium,29,self-employed,bachelor's,522,9.33,759,352,invest more
7543,32515,7139,40151,3171,18371,high,44,self-employed,master's,471,6.27,1456,498,invest more
9686,43491,1860,12540,4104,7810,medium,46,self-employed,PhD,611,1.49,725,1075,retirement
9356,22337,629,7204,3829,7786,high,49,full-time,PhD,692,0.84,987,335,retirement
3369,10154,1779,16922,1065,4946,medium,31,full-time,bachelor's,623,5.55,672,260,retirement
7555,42094,8264,63376,5041,5820,high,64,self-employed,PhD,720,9.48,2184,1045,invest more
5223,15884,5105,30780,1715,10659,high,62,self-employed,master's,340,6.87,603,460,travel
7491,39012,5541,29714,3135,16302,low,36,full-time,PhD,791,4.71,781,688,travel
2496,8672,6822,23494,1457,2123,low,24,self-employed,bachelor's,752,12.14,908,297,invest more
5707,29108,6266,29608,2025,6401,medium,37,full-time,master's,491,6.28,720,418,invest more
7255,43625,7085,56865,2825,10831,medium,70,full-time,master's,485,8.81,518,482,buy house
7710,35745,2770,42215,2957,9227,low,47,full-time,PhD,571,5.83,1899,878,buy house
4126,9819,3627,26817,1886,10308,medium,27,full-time,master's,674,7.38,611,308,retirement
9134,41410,7246,61420,5728,5978,high,63,full-time,PhD,478,7.52,3537,1056,travel
8521,17265,2919,27195,5406,8497,high,57,self-employed,PhD,502,3.53,2609,539,invest more
7406,11955,6427,48902,3368,3710,high,67,self-employed,PhD,437,7.47,2349,313,travel
3241,13365,6660,11721,1072,3499,high,23,full-time,master's,790,5.67,714,236,retirement
5486,34135,2217,34777,1893,12701,medium,59,self-employed,PhD,542,6.74,1164,318,buy house
1877,4513,2454,12140,702,12440,high,20,part-time,in school,704,7.77,500,208,invest more
5022,38490,3732,16394,2381,7324,high,62,retired,master's,665,4.01,1519,483,retirement
5483,42482,6666,12258,2980,19731,high,57,full-time,master's,549,3.45,1454,786,invest more
8474,16697,6013,59559,4686,16656,high,62,self-employed,master's,604,7.74,706,628,travel
3621,6917,4025,40,1768,4259,medium,23,full-time,master's,358,1.12,1232,297,buy house
9493,34010,1562,22270,5469,4174,high,57,retired,PhD,697,2.51,957,1424,travel
7768,14426,306,25537,3227,16617,high,51,full-time,PhD,805,3.33,1403,417,invest more
6525,31528,7353,10543,3954,17107,high,40,full-time,master's,683,2.74,2342,416,retirement
5934,34448,1968,22003,3371,1060,low,38,self-employed,master's,364,4.04,2042,448,invest more
7225,31312,4441,14581,4608,2399,high,57,self-employed,master's,700,2.63,3142,206,buy house
7189,16091,2852,19090,2928,8564,medium,62,full-time,PhD,628,3.05,998,831,invest more
5871,10042,6816,29769,3331,2331,medium,52,self-employed,master's,634,6.23,1404,544,retirement
9409,31085,4785,52624,4103,3265,low,58,self-employed,master's,304,6.1,2297,367,invest more
5426,31430,8076,3560,3246,15230,low,39,retired,master's,393,2.14,1586,266,invest more
5919,37831,4984,18325,3725,4341,high,38,self-employed,master's,355,3.94,627,611,buy house
2309,7935,7295,4532,1344,11060,medium,23,full-time,bachelor's,729,5.12,822,277,invest more
2704,6134,5406,20443,1689,10395,high,28,self-employed,bachelor's,643,9.56,1070,314,invest more
9877,13096,7765,27106,3371,19505,medium,47,full-time,master's,621,3.53,2233,580,invest more
4076,7260,3624,22576,1513,7148,medium,30,full-time,bachelor's,747,6.43,605,264,invest more
7599,18020,6961,10187,3461,6768,high,56,full-time,master's,511,2.26,1146,269,retirement
9458,46472,5951,2797,3386,4614,low,50,self-employed,PhD,575,0.92,1677,631,buy house
3305,5716,7184,28635,2170,6523,medium,35,full-time,master's,722,10.83,1009,247,travel
6301,36362,1777,20992,2083,13532,high,70,full-time,master's,659,3.61,1458,551,retirement
6425,28426,269,7378,3059,5494,high,57,retired,master's,499,1.19,1189,832,invest more
439,3561,3768,18582,180,12900,medium,20,part-time,in school,365,50.8,500,200,invest more
9937,20751,4261,50138,3985,2663,medium,65,self-employed,master's,744,5.47,1166,895,travel
9363,32771,7201,19128,6384,9615,high,44,self-employed,PhD,510,2.81,3930,1907,buy house
8430,49635,858,39111,3062,13392,medium,53,full-time,master's,742,4.74,1296,710,retirement
7779,20440,9919,2822,3179,8158,high,46,full-time,PhD,448,1.64,2031,315,retirement
7412,39749,1494,18931,3822,14254,medium,55,self-employed,master's,601,2.76,1931,290,retirement
7913,19935,9249,45406,2382,17953,high,51,self-employed,PhD,778,6.91,630,707,retirement
367,847,947,13721,239,8676,low,21,unemployed,in school,519,39.86,500,200,travel
1991,1674,897,810,860,7113,high,20,part-time,high school,330,0.86,559,200,buy house
2188,10765,1388,142,758,1465,high,27,self-employed,master's,523,0.7,515,208,buy house
3774,6535,649,2726,1219,9241,low,25,self-employed,bachelor's,829,0.89,708,284,travel
6352,23324,1947,35684,3934,17579,low,38,self-employed,PhD,414,5.92,1520,588,retirement
4257,13344,3839,3655,2044,9268,medium,33,self-employed,bachelor's,733,1.76,818,430,buy house
5731,38228,7653,46006,2331,17663,low,63,retired,PhD,437,9.36,1458,466,retirement
5073,37791,7235,7476,1642,1093,high,42,full-time,master's,596,2.9,643,459,buy house
4783,10851,9847,1908,1564,18986,low,33,full-time,master's,840,2.46,672,340,buy house
6550,14758,4987,2222,3453,17875,low,57,self-employed,PhD,488,1.1,2180,637,invest more
5999,27552,9370,32699,3416,4660,low,67,full-time,master's,738,7.01,985,298,invest more
7979,22990,2738,842,3324,6909,medium,37,self-employed,master's,398,0.45,2207,295,invest more
8324,43342,1956,60700,3261,10615,high,66,full-time,master's,411,7.53,1525,873,retirement
7237,45275,4517,7741,4811,9253,medium,47,retired,PhD,402,1.69,2855,1184,retirement
6429,30100,3276,53569,3036,15445,low,58,full-time,PhD,573,8.84,1758,275,retirement
9790,30307,689,8874,3001,17314,high,50,self-employed,master's,646,0.98,643,497,invest more
3358,18783,7989,28438,1249,7464,high,30,self-employed,master's,658,10.84,632,269,buy house
5316,24259,3896,18951,3469,10403,medium,70,retired,PhD,319,4.3,1918,755,invest more
6855,36792,2698,20857,4251,5435,low,56,retired,PhD,844,3.44,523,301,retirement
3330,15380,3203,1617,1173,16174,high,29,self-employed,master's,598,1.45,682,334,retirement
7351,45550,2563,33586,4704,1724,high,41,retired,PhD,675,4.92,2202,1085,invest more
3204,7944,8865,12369,1378,3324,low,23,self-employed,bachelor's,676,6.63,928,291,travel
2948,14992,4012,3968,962,16683,high,25,self-employed,master's,623,2.71,568,221,travel
7145,43524,4684,7705,2765,6887,high,62,full-time,master's,796,1.73,1839,572,buy house
9374,49512,6118,13588,3784,2290,high,55,retired,PhD,315,2.1,1793,737,travel
8117,31402,8234,32868,2719,4430,high,49,full-time,PhD,623,5.06,1423,724,retirement
8080,10009,4193,43406,3575,8491,medium,51,self-employed,master's,380,5.89,681,673,invest more
5432,14657,9887,58768,2226,10628,low,67,self-employed,master's,453,12.64,684,460,retirement
4112,5075,1298,32840,1278,12527,medium,33,full-time,bachelor's,525,8.3,766,296,retirement
9570,31910,7544,25746,5116,8667,high,48,self-employed,master's,595,3.48,2399,1383,invest more
7504,30180,3121,15441,3717,2369,medium,67,retired,master's,802,2.47,1574,533,invest more
2202,9373,7357,3499,1148,9330,medium,33,full-time,master's,435,4.93,767,206,buy house
4266,6756,4217,116,2567,7237,medium,25,self-employed,master's,619,1.02,1459,497,buy house
9556,22971,1413,4201,5054,11401,high,43,full-time,master's,553,0.59,1047,689,buy house
8955,46936,3435,40767,3596,3492,medium,44,retired,master's,369,4.94,512,590,travel
9627,32408,8738,5610,3777,15057,medium,46,self-employed,PhD,588,1.49,2112,570,travel
5892,41455,9272,63096,2277,18549,medium,64,full-time,PhD,705,12.28,517,318,invest more
8387,34879,478,28393,3457,15811,low,57,full-time,master's,514,3.44,2188,611,buy house
9872,19807,9917,45834,6163,4362,high,49,retired,PhD,512,5.65,3293,709,buy house
7599,11963,4566,31431,4146,16142,low,58,full-time,master's,485,4.74,860,630,travel
9084,39999,2884,32107,5081,15487,medium,41,retired,PhD,649,3.85,2545,288,travel
3960,15958,6013,11745,2537,5499,high,29,full-time,master's,463,4.48,956,243,retirement
9376,32394,4621,30228,6099,4327,low,50,self-employed,master's,839,3.72,4153,1367,retirement
3971,18020,8438,6904,1534,3319,high,27,full-time,bachelor's,512,3.86,828,270,invest more
8865,29657,9407,12797,4388,4901,medium,50,retired,master's,721,2.5,774,228,travel
9458,27654,2926,4177,5218,12468,high,70,self-employed,master's,803,0.75,1442,924,invest more
8085,11841,1911,33068,4689,17246,high,43,full-time,master's,837,4.33,3277,300,buy house
6631,49254,1074,5292,3944,3811,medium,49,full-time,master's,331,0.96,1462,243,retirement
4778,16373,523,15761,2058,8032,medium,23,self-employed,bachelor's,770,3.41,1113,205,travel
4251,10940,6469,9798,1472,3644,low,31,self-employed,bachelor's,621,3.83,639,319,invest more
2871,15359,4137,3003,924,12139,high,27,self-employed,bachelor's,529,2.49,545,213,travel
8427,19768,9057,56165,3188,10955,low,67,retired,PhD,635,7.74,1882,915,travel
502,2825,6203,20315,275,13800,low,21,part-time,high school,593,52.72,500,200,buy house
6456,34331,1471,37859,3273,13002,high,47,self-employed,master's,473,6.09,727,822,travel
469,3828,160,3152,146,19397,low,18,unemployed,high school,700,7.05,500,200,buy house
1673,2084,1546,12086,558,10379,low,19,unemployed,in school,843,8.14,500,200,invest more
2357,11176,8383,16004,1640,10195,low,24,self-employed,master's,473,10.34,800,393,retirement
5228,40777,967,37951,3352,3691,high,50,full-time,PhD,595,7.44,2044,518,buy house
8255,49158,103,22515,5758,5862,high,62,retired,master's,635,2.74,2942,1111,buy house
9297,31639,9846,27479,6193,16129,medium,39,self-employed,master's,542,4.01,1582,1820,invest more
6355,41423,1065,33740,3693,7351,low,51,self-employed,master's,398,5.48,1828,766,buy house
5793,15178,1699,41727,1781,14406,medium,65,full-time,master's,535,7.49,882,408,buy house
7482,16142,5300,18136,4554,18380,low,47,retired,PhD,776,3.13,1489,357,retirement
9353,16639,6119,17371,6228,12253,medium,63,retired,PhD,380,2.51,2501,1514,travel
6656,38543,6739,34173,2975,15745,low,43,self-employed,master's,720,6.15,1927,204,travel
6192,22002,9902,59109,2567,19361,high,66,retired,master's,671,11.14,1614,668,retirement
4936,14740,235,9411,2599,12245,low,34,full-time,master's,307,1.95,1287,560,retirement
6294,19719,4017,30358,3863,4338,medium,69,retired,PhD,667,5.46,2087,1037,invest more
138,3653,51,12044,61,9741,low,19,part-time,in school,542,87.01,500,200,travel
8814,46827,9019,9300,5938,7745,low,39,retired,PhD,408,2.08,1325,1187,buy house
6904,18312,1703,28492,4231,19789,high,49,retired,master's,784,4.37,1183,1249,travel
8515,19892,4797,98,3681,6370,low,39,full-time,PhD,443,0.57,1133,464,invest more
3709,15375,1626,19682,1530,14734,medium,24,full-time,master's,315,5.74,702,406,retirement
5311,33509,3752,6180,3124,9081,medium,52,self-employed,PhD,338,1.87,1521,897,travel
8938,15864,523,30628,5207,18097,medium,42,self-employed,PhD,679,3.48,2081,377,invest more
2705,17706,2211,16188,966,16960,high,24,self-employed,master's,586,6.8,576,273,retirement
748,2462,2139,2803,332,18687,low,20,unemployed,high school,786,6.6,500,200,invest more
7064,40987,2192,11453,2821,13724,low,38,retired,master's,322,1.93,1765,646,travel
5607,12147,9191,51729,3792,2876,high,52,retired,master's,753,10.86,2073,1073,invest more
2429,9409,558,15358,1510,18433,low,32,full-time,master's,546,6.55,564,270,invest more
4154,18901,435,5247,2250,15316,medium,31,self-employed,bachelor's,445,1.37,900,331,invest more
8700,31087,230,37932,4149,8599,low,38,full-time,master's,370,4.39,2628,547,retirement
7300,36676,9709,46080,3165,14185,medium,59,self-employed,PhD,760,7.64,1708,285,invest more
9274,16282,1489,60349,3630,18560,medium,63,self-employed,master's,519,6.67,2307,460,buy house
1195,3163,7629,13306,585,8622,low,18,part-time,in school,808,17.5,500,200,invest more
9758,46553,3198,58766,6447,9313,low,64,retired,PhD,519,6.35,2752,1613,retirement
6637,34837,7123,53046,3750,10489,medium,61,self-employed,master's,438,9.06,1731,888,travel
2913,14962,6216,14608,1158,13044,medium,26,self-employed,master's,751,7.15,705,303,invest more
452,1180,3701,9848,289,16491,low,19,part-time,high school,616,29.91,500,200,buy house
7417,48020,1877,27924,3426,1883,medium,37,retired,master's,503,4.02,1717,244,invest more
9779,21171,6602,4041,4496,3079,low,44,retired,PhD,717,1.09,1361,319,retirement
261,2966,7577,13215,133,9998,low,18,unemployed,high school,478,79.36,500,200,retirement
8189,48263,759,25482,3040,14284,low,40,full-time,PhD,300,3.2,655,898,travel
9645,34876,4238,4276,4785,12132,medium,42,retired,PhD,607,0.88,2738,674,invest more
5613,46591,6070,34517,2250,11944,low,62,full-time,PhD,846,7.23,1100,239,buy house
7430,12179,6766,17876,4375,8502,low,63,self-employed,master's,455,3.32,1415,684,retirement
2437,12407,7732,11350,765,14964,medium,23,self-employed,bachelor's,824,7.83,513,221,travel
7405,17818,3386,19632,3692,12351,low,61,retired,master's,757,3.11,1053,837,buy house
7506,35354,9416,511,4028,6177,medium,65,retired,PhD,667,1.32,1667,601,retirement
9392,37941,8303,26583,4386,15585,low,50,full-time,master's,525,3.71,2458,901,travel
5295,17403,341,59172,3180,2758,low,60,self-employed,PhD,374,11.24,1573,893,buy house
8669,25454,1071,38593,4181,19051,high,51,retired,master's,551,4.57,1803,1220,invest more
6248,44452,8133,7079,3942,14238,medium,62,full-time,master's,659,2.43,1172,618,invest more
4044,10702,6706,14775,1499,11319,high,22,full-time,master's,347,5.31,646,339,travel
3560,18695,152,6229,2308,1632,medium,29,self-employed,master's,701,1.79,1458,482,buy house
8988,31645,3744,12928,4426,7312,high,64,self-employed,PhD,601,1.85,794,283,invest more
3019,15860,2515,11850,984,13408,low,30,self-employed,master's,360,4.76,667,202,buy house
7582,24543,7583,51166,4694,3885,low,65,full-time,master's,768,7.75,1826,1036,buy house
3415,15303,4400,12005,1328,11259,high,29,self-employed,master's,814,4.8,627,250,invest more
8953,38680,772,34001,2990,4222,high,53,self-employed,master's,781,3.88,846,567,invest more
8234,10822,680,50276,3683,7601,medium,70,retired,PhD,658,6.19,2307,553,travel
5732,39802,6081,31823,2193,18295,low,59,retired,PhD,360,6.61,642,227,retirement
7430,36313,9092,32542,2949,16101,low,65,retired,PhD,301,5.6,775,673,travel
6975,48301,8833,9071,2865,10130,high,54,retired,master's,620,2.57,1385,780,travel
5373,27494,2262,14724,3690,4801,high,57,self-employed,PhD,656,3.16,1165,584,invest more
8646,17881,398,20299,5065,3024,low,37,retired,master's,361,2.39,2029,1135,buy house
6064,40212,6895,19687,2637,14979,medium,68,retired,PhD,621,4.38,669,537,travel
3844,11665,3027,12268,2466,5473,low,29,full-time,master's,437,3.98,1361,432,retirement
5509,39880,4548,1826,2978,3300,medium,60,self-employed,PhD,850,1.16,1478,788,buy house
6295,40853,8408,2096,3633,16977,medium,46,self-employed,PhD,332,1.67,1516,584,buy house
3972,9725,1634,23715,1404,17061,high,35,self-employed,bachelor's,523,6.38,668,352,buy house
2529,18554,5031,21276,1395,4290,high,22,full-time,bachelor's,557,10.4,635,243,buy house
9920,17756,5981,212,6814,2442,medium,48,retired,master's,366,0.62,2450,1940,retirement
9806,46322,3463,8117,6244,8239,high,46,self-employed,PhD,590,1.18,2310,515,retirement
4500,10368,6330,1048,1412,1723,high,24,full-time,bachelor's,561,1.64,507,280,invest more
4094,11728,7020,13550,2411,10609,high,30,full-time,bachelor's,695,5.02,922,278,retirement
